Fruit,Quantity_kg,Price_per_kg_in_USD,Farmer_Name,Customer_Name
Orange,64,1.72,John Smith,Tina Rodriquez
Banana,97,2.13,John Smith,Orlando Jackson
Grape,56,2.53,John Smith,Rosie Alexander
Pear,115,1.25,John Smith,Kathyrn Rechtzigel
Apple,,1.72,John Smith,Rebecca Griffin
Orange,138,1.66,John Smith,Desmond Paulseth
Banana,96,1.54,John Smith,Richard Christensen
Grape,107,2.57,John Smith,Albert Crawford
Pear,137,2.47,John Smith,Marjorie West
Apple,140,1.74,John Smith,David Charles
Orange,148,2.62,John Smith,Tabatha Cato
Banana,,1.44,John Smith,Christopher Bell
Grape,73,,John Smith,Jane Salvaggio
Pear,97,2.82,John Smith,Erma Philo
Apple,67,1.37,John Smith,Samuel Young
Orange,,2.82,John Smith,James Griffin
Banana,82,1.03,John Smith,Tamara Tornatore
Grape,127,,John Smith,John Holland
Pear,,,John Smith,Cynthia Pritchard
Apple,138,1.94,John Smith,Benjamin Witten
Orange,111,1.31,John Smith,Leon Navarra
Banana,106,2.87,John Smith,Lisa Turner
Grape,140,2.71,John Smith,Bruce Penix
Pear,101,1.45,John Smith,Hillary Zimmerman
Apple,62,,John Smith,Linda Wenger
Orange,128,2.03,John Smith,Adrian Moore
Banana,135,1.63,John Smith,Kristina Mitchell
Grape,103,2.26,John Smith,Jane Washburn
Pear,96,,John Smith,Edward Loy
Apple,70,1.9,John Smith,Marla Morris
Orange,,1.62,John Smith,Jean Castano
Banana,126,,John Smith,Luis Moore
Grape,62,,John Smith,Aimee Sanchez
Pear,115,2.34,John Smith,Mike Jenkins
Apple,,1.56,John Smith,Lillie Hankins
Orange,130,1.18,John Smith,Annie Case
Banana,146,2.08,John Smith,Robert Marren
Grape,71,2.37,John Smith,Lisa Guay
Pear,146,,John Smith,Terra Whitsitt
Apple,78,,John Smith,Lawrence Toenges
Orange,97,1.27,John Smith,Yolanda Williams
Banana,55,1.62,John Smith,Veronica Villalobas
Grape,100,2.35,John Smith,Jack Navarro
Pear,110,2.44,John Smith,Teresa Cobb
Apple,126,1.63,John Smith,Jean Sweet
Orange,,2.18,John Smith,Edward Helm
Banana,122,2.78,John Smith,Ruby Cooper
Grape,50,1.29,John Smith,Kerri Barbee
Pear,98,1.29,John Smith,Trisha Weston
Apple,145,2.33,John Smith,John Pinnock
Orange,99,1.36,John Smith,Jack Pickett
Banana,127,1.38,John Smith,Francis Matthes
Grape,,2.22,John Smith,John Bradley
Pear,140,1.53,John Smith,Jon Phelps
Apple,124,2.81,John Smith,Matthew Kipping
Orange,71,1.86,John Smith,Marlin Smith
Banana,,2.98,John Smith,Clyde Hoffer
Grape,102,2.03,John Smith,Bernard Sears
Pear,,,John Smith,Manuel Stanton
Apple,137,2.34,John Smith,Cara Beardsley
Orange,58,1.92,John Smith,Susan Cunningham
Banana,,2.6,John Smith,Lisa Harville
Grape,57,1.56,John Smith,Sharon Moreno
Pear,100,1.72,John Smith,Sidney Rosado
Apple,,1.07,John Smith,Charles Johnson
Orange,131,2.39,John Smith,Neoma Goddard
Banana,123,1.04,John Smith,Avis Ramos
Grape,68,,John Smith,Antonio Williams
Pear,,2.41,John Smith,Carlos Clark
Apple,108,1.17,John Smith,Jennifer Cerrone
Orange,,2.03,John Smith,Carol Welsh
Banana,61,1.01,John Smith,Michael Mcree
Grape,97,,John Smith,William Phillips
Pear,,2.5,John Smith,Jennifer Morely
Apple,,1.3,John Smith,Cara Jones
Orange,104,1.31,John Smith,Jesse Cogdill
Banana,,,John Smith,Royal Ross
Grape,142,1.59,John Smith,Karen Kissinger
Pear,104,2.22,John Smith,Shirley Mcauliffe
Apple,,2.63,John Smith,Patsy Leadbetter
Orange,124,1.67,John Smith,Joel Priest
Banana,126,1.59,John Smith,Raquel Gould
Grape,98,2.45,John Smith,Marsha Hudson
Pear,128,,John Smith,Lois Wigley
Apple,,1.31,John Smith,Linda Bugg
Orange,66,1.87,John Smith,Stewart Drum
Banana,105,1.33,John Smith,Fannie Langner
Grape,145,2.13,John Smith,Mary Meeks
Pear,117,,John Smith,Marvin Johnson
Apple,146,2.86,John Smith,Joseph Drew
Orange,53,1.56,John Smith,Mildred Ferguson
Banana,,2.49,John Smith,Stanley Morrow
Grape,79,2.73,John Smith,Daniel Boedeker
Pear,,2.42,John Smith,Charles Centeno
Apple,119,1.07,John Smith,Pamela Lachance
Orange,71,2.87,John Smith,Rebecca Friesenhahn
Banana,135,2.34,John Smith,Gregory Vaughn
Grape,58,2.38,John Smith,Miki Dale
Pear,110,1.3,John Smith,Bennie Lee
Apple,,2.74,John Smith,Mark Hindman
Orange,115,1,John Smith,Annette Haro
Banana,67,2.29,John Smith,Robert Hays
Grape,55,1.92,John Smith,Sherry Ferrari
Pear,127,2.94,John Smith,Bret Morales
Apple,,1.16,John Smith,Curtis Moriarity
Orange,115,,John Smith,Wayne Davidson
Banana,91,2.58,John Smith,James Ernst
Grape,,,John Smith,David Mahabir
Pear,134,2.03,John Smith,Faith Miller
Apple,125,1.36,John Smith,Mark Harris
Orange,109,2.08,John Smith,Arnold Welch
Banana,79,2.72,John Smith,Vaughn Arnold
Grape,64,1.42,John Smith,George Betts
Pear,50,2.96,John Smith,John Stainback
Apple,101,2.38,John Smith,Ida Sundahl
Orange,140,1.54,John Smith,Allan Meeker
Banana,146,1.29,John Smith,Juanita Amie
Grape,74,2.28,John Smith,Russell Conklin
Pear,85,2.11,John Smith,Noe Pena
Apple,89,,John Smith,Rachel Courtney
Orange,,2.33,John Smith,Jimmie Huie
Banana,,1.6,John Smith,Michael Marsh
Grape,97,2.38,John Smith,Armida Wade
Pear,,1.4,John Smith,Christopher Christ
Apple,121,2.18,John Smith,Amy Stein
Orange,,1.97,John Smith,Eleonore Worek
Banana,104,1.8,John Smith,Steven Poloskey
Grape,67,1.98,John Smith,Krystal Digsby
Pear,72,1.97,John Smith,Amanda Rosario
Apple,116,1.47,John Smith,Dennis Marion
Orange,,2.24,John Smith,Wei Malone
Banana,100,1.32,John Smith,Margaret Bobbitt
Grape,,1.84,John Smith,Edward Shea
Pear,53,1.37,John Smith,Kim Guidry
Apple,,,John Smith,Veronica Stephenson
Orange,127,2.91,John Smith,Reid Bean
Banana,82,2.83,John Smith,Sandra Borke
Grape,64,1.9,John Smith,Robert Corral
Pear,50,2.67,John Smith,Clair Otwell
Apple,131,1.44,John Smith,Dana Anderson
Orange,,1.99,John Smith,Jeffrey Vance
Banana,141,1.03,John Smith,Edward Saenz
Grape,112,1.58,John Smith,Marcus Fernandez
Pear,62,2.66,John Smith,Clotilde Little
Apple,69,2.68,John Smith,Duncan Wilson
Orange,130,2.36,John Smith,Deborah Mazzaferro
Banana,,1.91,John Smith,Charlotte Rankin
Grape,140,2.17,John Smith,Shawn Villarreal
Pear,,1.35,John Smith,Annetta Severson
Apple,60,1.53,John Smith,Rebecca Pratt
Orange,110,1.93,John Smith,Raymond Hefferon
Banana,104,2.96,John Smith,Kenneth Owens
Grape,114,2.95,John Smith,Thomas Gains
Pear,138,2.9,John Smith,Brigid Bouck
Apple,109,1.68,John Smith,Lynette Justice
Orange,105,1.64,John Smith,Joseph Taylor
Banana,100,2.26,John Smith,Laquita Isch
Grape,,1.1,John Smith,Emily Leak
Pear,59,1.81,John Smith,Geneva Gonzalez
Apple,,2.83,John Smith,Jeff Runion
Orange,,2.85,John Smith,Deborah Reed
Banana,80,1.92,John Smith,Jeffrey Cipriani
Grape,103,1.88,John Smith,Bert Lee
Pear,129,1.66,John Smith,Francis Harper
Apple,88,1.62,John Smith,Amber Davidson
Orange,96,1.74,John Smith,Zachary Branstetter
Banana,,1.07,John Smith,Malcolm Pokorney
Grape,137,1.06,John Smith,Sherman Kress
Pear,112,2.59,John Smith,Rosalina Brown
Apple,,2.48,John Smith,William Dunn
Orange,,1.64,John Smith,Alberto Miles
Banana,62,2.1,John Smith,Alma Brown
Grape,134,2.06,John Smith,Aaron Clemens
Pear,99,1.96,John Smith,Barbara Anderson
Apple,60,2.86,John Smith,Russell Kemp
Orange,145,2.73,John Smith,Brenda Williamson
Banana,89,2.27,John Smith,Cari Matthews
Grape,50,2.79,John Smith,Clark Perze
Pear,,1.17,John Smith,Gary Nichols
Apple,120,,John Smith,Margaret Jones
Orange,78,1.64,John Smith,Dawn Wenzel
Banana,,,John Smith,Helen Merrill
Grape,73,1.75,John Smith,Edward Dagle
Pear,119,2.82,John Smith,Jaime Evans
Apple,106,1.25,John Smith,Antonio Carrel
Orange,115,2.04,John Smith,Charles Bottom
Banana,134,1.28,John Smith,Jean Mitchener
Grape,77,1.25,John Smith,Troy Whitley
Pear,,2.13,John Smith,Walter Kennedy
Apple,130,2.89,John Smith,Eugenia Fortenberry
Orange,,2.74,John Smith,Reginald King
Banana,105,1.69,John Smith,Brandon Branum
Grape,113,2.54,John Smith,Thomas Zabinski
Pear,114,2.38,John Smith,Michael Bellantoni
Apple,,2.76,John Smith,Kenny Burdick
Orange,137,1.43,John Smith,Samantha Gibson
Banana,121,2.53,John Smith,Patsy Mehta
Grape,94,1.04,John Smith,Rhonda Sheline
Pear,141,1.95,John Smith,Brandi Waller
Apple,56,2.57,John Smith,Amanda Johnson
Orange,131,1.36,John Smith,Charlene Paiz
Banana,,2.01,John Smith,Brenda Cochran
Grape,105,1.13,John Smith,Hugh Atkins
Pear,,1.5,John Smith,Martin Caudill
Apple,123,2.91,John Smith,Richard Dewitt
Orange,,,John Smith,Jennifer Grimes
Banana,,1.72,John Smith,Robert Warren
Grape,,,John Smith,Rosemary Adams
Pear,146,2.46,John Smith,Betty Everett
Apple,118,2.41,John Smith,Benjamin Walker
Orange,83,2.48,John Smith,Judith Normand
Banana,,,John Smith,Jaime Carpenter
Grape,72,2.56,John Smith,Della Bement
Pear,137,1.67,John Smith,Theodore Uber
Apple,140,1.47,John Smith,Jerry Bird
Orange,95,2.75,John Smith,Isabella Rutledge
Banana,127,1.69,John Smith,Luis Hagerman
Grape,129,,John Smith,Kristi Johanson
Pear,104,2.23,John Smith,Maggie Bono
Apple,,2.25,John Smith,Michael Iversen
Orange,115,2.73,John Smith,Rolando Cannon
Banana,101,2.29,John Smith,Tresa Bloxham
Grape,89,2.23,John Smith,Cindy King
Pear,,2.11,John Smith,Claudia Smithers
Apple,,1.9,John Smith,Priscilla Crawford
Orange,,2.1,John Smith,Beth Muzzey
Banana,63,1.84,John Smith,Penny Jimerson
Grape,98,2.81,John Smith,Arturo Cobb
Pear,142,2.62,John Smith,Luanne Reed
Apple,66,2.57,John Smith,Regina Filley
Orange,104,1.79,John Smith,Walton Lowery
Banana,125,2.86,John Smith,Lauren Bryer
Grape,67,1.66,John Smith,Sandra Hutson
Pear,,2.43,John Smith,Fred Birnbaum
Apple,135,2.54,John Smith,John Jackson
Orange,148,1.25,John Smith,Susan Brace
Banana,62,,John Smith,Angela Odonnell
Grape,83,1.78,John Smith,John Alston
Pear,82,1.91,John Smith,Becky Mccoy
Apple,126,1.85,John Smith,Beverly Morales
Orange,89,1.85,John Smith,Janet Parent
Banana,,1.7,John Smith,Elizabeth Alston
Grape,147,,John Smith,Jill Kelley
Pear,81,1.25,John Smith,Wilfredo Mosley
Apple,,1.52,John Smith,Pansy Vincente
Orange,130,2.15,John Smith,Jonathan Washburn
Banana,,1.42,John Smith,Pam Hughes
Grape,124,,John Smith,Bert Krumm
Pear,56,2.86,John Smith,Stephen Luce
Apple,,2.16,John Smith,Alexander Lige
Orange,,2.59,John Smith,Jerry Tellez
Banana,,,John Smith,Bobby Benincase
Grape,53,1.6,John Smith,Steve Vang
Pear,114,2.76,John Smith,Roland Clark
Apple,51,1.65,John Smith,David Aguilera
Orange,136,1.4,John Smith,George Holford
Banana,108,2.15,John Smith,David Gartland
Grape,,1.63,John Smith,Caroline Knapp
Pear,149,2.8,John Smith,Sue Lloyd
Apple,83,2.67,John Smith,Chester Richardson
Orange,145,1.84,John Smith,Linda Crocker
Banana,98,1.64,John Smith,Chris Shepard
Grape,99,1.37,John Smith,Eric Peacock
Pear,127,,John Smith,Katie Allen
Apple,122,1.79,John Smith,Tyrone Chandler
Orange,76,2.85,John Smith,Matthew Taylor
Banana,,,John Smith,Brandy Pasche
Grape,,1.59,John Smith,Thomas Mikell
Pear,115,1.34,John Smith,Patty Miller
Apple,107,2.01,John Smith,Teddy Lyday
Orange,123,2.12,John Smith,Maria Tookes
Banana,119,1.14,John Smith,Luisa Poremski
Grape,117,1.32,John Smith,Edwin Langston
Pear,,2.74,John Smith,Tara Barber
Apple,,1.71,John Smith,Alice Batts
Orange,,2.22,John Smith,Scott Anderson
Banana,124,1,John Smith,Marie Campbell
Grape,132,2.08,John Smith,Stephen Marusarz
Pear,98,2.2,John Smith,Robert Sands
Apple,149,2.14,John Smith,Christopher Donaway
Orange,127,1.15,John Smith,William Mccormick
Banana,88,1.53,John Smith,Elisa Northern
Grape,91,2.72,John Smith,Nicholas Quinn
Pear,,2.16,John Smith,Leo Martin
Apple,74,1.89,John Smith,Elizabeth Birden
Orange,75,1.43,John Smith,Jesse Hudson
Banana,,2.43,John Smith,Nancy Bond
Grape,145,2.27,John Smith,Gary Lucas
Pear,,1.11,John Smith,Constance Yockers
Apple,,2.09,John Smith,Frank White
Orange,98,2.73,John Smith,Donald Anderson
Banana,94,1.04,John Smith,Donna Galinis
Grape,,2.03,John Smith,Lisa Ottrix
Pear,77,2.41,John Smith,James Sayco
Apple,,1.31,John Smith,Matthew Coffman
Orange,,1.77,John Smith,Heather Forbes
Banana,,2.71,John Smith,Liliana Meacham
Grape,102,,John Smith,Henry Lowman
Pear,54,2.55,John Smith,Jeremy White
Apple,61,,John Smith,Gilbert Milewski
Orange,68,2.13,John Smith,Leslie Ferguson
Banana,77,1.21,John Smith,Heather Guyer
Grape,54,1.79,John Smith,Danny Barber
Pear,,1.93,John Smith,Stephen Martin
Apple,118,1.94,John Smith,Gary Golden
Orange,135,2.17,John Smith,Jerry Reichmann
Banana,128,2.63,John Smith,Ruth Peppers
Grape,,2.42,John Smith,Elisa Hayes
Pear,,2.6,John Smith,Carl Fields
Apple,149,1.56,John Smith,John Voss
Orange,133,1.35,John Smith,Jean Reiher
Banana,100,1.43,John Smith,Bruce Fahey
Grape,90,1.93,John Smith,Steve Goetz
Pear,80,1.99,John Smith,Steven Udo
Apple,97,2.28,John Smith,Grace Mcmanus
Orange,54,,John Smith,Jay Allen
Banana,130,2.08,John Smith,Martin Kelly
Grape,84,,John Smith,Jared Ledezma
Pear,63,2.24,John Smith,Jason Ashbrook
Apple,67,1.83,John Smith,Lisa Lebovic
Orange,77,2.33,John Smith,Marie Hanson
Banana,104,2.12,John Smith,Beth Parker
Grape,102,1.97,John Smith,John Cables
Pear,145,2.37,John Smith,Anna Smith
Apple,149,1.92,John Smith,Randi Sexton
Orange,99,2.34,John Smith,Luetta Reaver
Banana,93,,John Smith,Brenda Remmers
Grape,119,1.39,John Smith,James Lyons
Pear,121,2.22,John Smith,Marcos Gonzales
Apple,,1.74,John Smith,Thomas Hernandez
Orange,105,1.95,John Smith,Michele Timms
Banana,107,1.36,John Smith,Bobby Bragg
Grape,68,1.25,John Smith,Dean Maks
Pear,133,,John Smith,Roy Ellender
Apple,122,2.97,John Smith,Robert Stone
Orange,,1.37,John Smith,Melvin Candelaria
Banana,72,,John Smith,Samuel Belliveau
Grape,61,,John Smith,Elizabeth Williams
Pear,136,1.53,John Smith,Rosie John
Apple,,1.2,John Smith,Mary Smallwood
Orange,74,,John Smith,Jesse Mertz
Banana,105,,John Smith,Mark Ludlow
Grape,,1.73,John Smith,Patricia Delgado
Pear,79,2.02,John Smith,Melissa Biddle
Apple,85,1.92,John Smith,Joseph Lohr
Orange,61,2.37,John Smith,Marilyn Swartz
Banana,,,John Smith,Sarah Sander
Grape,62,2.21,John Smith,Daryl Hayden
Pear,55,2.25,John Smith,Rena Siciliano
Apple,68,2.64,John Smith,Stephen Dejesus
Orange,108,1.48,John Smith,Cecil Hernandez
Banana,73,1.7,John Smith,Edwin Fernandez
Grape,,1.85,John Smith,Nicholas Haynes
Pear,140,2.63,John Smith,Irma Sparrow
Apple,55,1.03,John Smith,Christina Callahan
Orange,131,2.87,John Smith,Gloria Sumpter
Banana,55,1,John Smith,Kenneth Martin
Grape,136,1.03,John Smith,Kelly Grubbs
Pear,104,1.34,John Smith,Jennifer Gil
Apple,99,1.46,John Smith,Janice Breen
Orange,64,2.39,John Smith,Howard Sinclair
Banana,116,2.42,John Smith,Thelma Dancy
Grape,,,John Smith,Cody Burke
Pear,,2.13,John Smith,Ella Jarvis
Apple,106,2.26,John Smith,Johanna Brunson
Orange,64,1,John Smith,Grace Gaudet
Banana,136,2.4,John Smith,Joseph Strunk
Grape,59,2.06,John Smith,John Simonds
Pear,132,,John Smith,Heather Beek
Apple,,2.49,John Smith,Randall Haffey
Orange,76,1.84,John Smith,Pamela Childers
Banana,,1.95,John Smith,Judith Meza
Grape,60,2.5,John Smith,Sandra Martin
Pear,146,1.52,John Smith,Robert Johnson
Apple,79,2.16,John Smith,Tyrone Roux
Orange,118,2.98,John Smith,Tommie Whitacre
Banana,140,,John Smith,Alvina Flake
Grape,130,1.06,John Smith,Sharon Estrello
Pear,68,2.51,John Smith,Jimmy Mcgee
Apple,110,1.23,John Smith,Elijah Pollock
Orange,59,1.22,John Smith,Jeffrey Mitchell
Banana,124,2.53,John Smith,Rosalie Ruacho
Grape,100,2.79,John Smith,Malinda Schwartz
Pear,145,1.44,John Smith,Pam Finney
Apple,,1.08,John Smith,Amy Yielding
Orange,70,2.2,John Smith,Michael Luttrell
Banana,64,,John Smith,Edward Harrison
Grape,,1.59,John Smith,Javier Miller
Pear,120,2.33,John Smith,Paul Ball
Apple,74,2.93,John Smith,Clarence Prince
Orange,115,1.93,John Smith,William Edwards
Banana,80,2.85,John Smith,Frederick Jenkins
Grape,128,1.92,John Smith,Dale Bedor
Pear,81,2.3,John Smith,Janice Perry
Apple,104,1.45,John Smith,Corinne Hernandez
Orange,,1.86,John Smith,George Lawrence
Banana,130,1.97,John Smith,Betty Johnson
Grape,74,2.74,John Smith,Steven Summers
Pear,121,2.2,John Smith,Eduardo Woolcott
Apple,148,2.59,John Smith,Pamela Dyer
Orange,58,1.87,John Smith,Peter Chon
Banana,,1.2,John Smith,Dennis Schuetz
Grape,135,2.8,John Smith,Wanda Switzer
Pear,81,2.14,John Smith,Kenneth Fashaw
Apple,108,1.34,John Smith,Bryan Harrison
Orange,118,1.66,John Smith,Todd Sauer
Banana,123,,John Smith,William Bishop
Grape,99,2.8,John Smith,Margarita Bernstein
Pear,141,1.61,John Smith,Robert Sweet
Apple,,2.34,John Smith,Erica Wilkinson
Orange,114,1.45,John Smith,William Brown
Banana,125,2.04,John Smith,Emily Young
Grape,97,1.32,John Smith,Patricia Roberson
Pear,98,,John Smith,Allan Roberts
Apple,,2.22,John Smith,Pearl Hufford
Orange,114,1.93,John Smith,Deborah Sinisi
Banana,,,John Smith,Herbert Moore
Grape,,2.27,John Smith,Lawrence Pierce
Pear,,2.56,John Smith,Ann Newton
Apple,107,1.92,John Smith,Robert Teasley
Orange,,1.62,John Smith,Meghan Dumont
Banana,87,2.16,John Smith,Janice Champion
Grape,,1.68,John Smith,Shirley Anderson
Pear,60,1.74,John Smith,Sandy Vest
Apple,66,1.25,John Smith,Anna Gorman
Orange,66,1.31,John Smith,Bill Dobson
Banana,104,1.9,John Smith,Opal Willis
Grape,,1.85,John Smith,Thomas Newberry
Pear,85,,John Smith,Timothy Pickle
Apple,128,1.58,John Smith,Matthew Rangel
Orange,,1.76,John Smith,Warren Lewis
Banana,135,1.91,John Smith,George Rafter
Grape,119,2.38,John Smith,Janice Clark
Pear,103,2.26,John Smith,Justin Alexander
Apple,112,1.43,John Smith,Phillip Lazo
Orange,106,1.05,John Smith,Hannah Woodson
Banana,85,2.37,John Smith,Willie Charles
Grape,138,2.85,John Smith,Scot Keene
Pear,,2.23,John Smith,Michele Stevens
Apple,78,1.19,John Smith,Ethel Harris
Orange,65,1.88,John Smith,Joseph Crandall
Banana,130,1.17,John Smith,Yvonne Manning
Grape,,2.59,John Smith,Orlando Coward
Pear,,,John Smith,Shirley Flores
Apple,,2.95,John Smith,Tim Houghton
Orange,74,1.85,John Smith,James Straugter
Banana,140,2.83,John Smith,Richard Sample
Grape,144,2.73,John Smith,Richard Epp
Pear,134,2.64,John Smith,Steven Reid
Apple,59,2.5,John Smith,Robert Mcwilliams
Orange,62,2.36,John Smith,Jane Hernandez
Banana,55,2.76,John Smith,Pearl Cota
Grape,72,2.15,John Smith,Deborah Beck
Pear,148,,John Smith,Phillip Bleiweiss
